,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348,cluster_label,graduated
562,1.0,0.0,0.2999999999999998,1.0,0.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,0.0,-0.30000000000000004,0.2999999999999998,0.0,1.0,2.0,0,1
563,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
564,1.0,1.2999999999999998,2.0,2.0,-1.0,0.0,1.7000000000000002,-2.0,0.7000000000000002,-2.0,-2.0,1.0,1.0,-2.0,0.2999999999999998,0.7000000000000002,-0.30000000000000004,-2.0,0.7000000000000002,0,0
565,-2.0,-2.0,2.0,2.0,1.0,0.0,1.0,-2.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,0.2999999999999998,-2.0,-0.30000000000000004,0.2999999999999998,1.2999999999999998,0,1
566,1.0,-2.0,0.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
567,0.0,1.2999999999999998,1.2999999999999998,1.7000000000000002,1.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,1.2999999999999998,0.7000000000000002,1.0,1.0,0.7000000000000002,0.0,0,1
568,1.0,0.2999999999999998,0.0,1.2999999999999998,-1.0,-2.0,0.0,-2.0,-1.0,-2.0,-2.0,0.0,0.7000000000000002,-2.0,-2.0,0.0,-0.7,-2.0,-2.0,1,0
569,0.0,2.0,0.0,0.0,-2.0,1.0,-2.0,-1.3,0.2999999999999998,-2.0,-2.0,-2.0,1.2999999999999998,0.2999999999999998,0.7000000000000002,0.0,0.0,-2.0,-2.0,0,0
570,1.0,-0.30000000000000004,0.0,1.0,1.0,1.0,-2.0,0.7000000000000002,0.0,-2.0,-2.0,1.0,1.0,0.7000000000000002,0.0,0.2999999999999998,0.2999999999999998,-2.0,-2.0,0,0
571,0.0,-0.7,-1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-0.7,-0.30000000000000004,0.0,-0.7,-2.0,-2.0,0,1
572,1.0,1.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,-2.0,-2.0,1.0,0.2999999999999998,0.2999999999999998,0.0,1.0,0.7000000000000002,2.0,0.7000000000000002,0,1
573,-2.0,-2.0,-2.0,0.2999999999999998,0.2999999999999998,-2.0,1.0,-1.0,0.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
574,-2.0,1.0,1.7000000000000002,1.7000000000000002,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,0.2999999999999998,0.0,0.0,0.0,0.0,0.2999999999999998,0,1
575,-2.0,-2.0,-2.0,2.0,0.2999999999999998,1.7000000000000002,-2.0,-2.0,2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
576,-0.7,-2.0,-2.0,-1.0,-1.0,-2.0,1.0,-2.0,1.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
577,0.0,0.0,1.0,1.2999999999999998,0.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,1.7000000000000002,1.0,-2.0,1.2999999999999998,-1.0,0.2999999999999998,0,1
578,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
579,2.0,2.0,1.0,2.0,2.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,-0.30000000000000004,-1.0,0.0,-0.30000000000000004,-1.3,0.0,0,1
580,2.0,2.0,1.0,2.0,0.0,1.0,-2.0,1.7000000000000002,1.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,0.2999999999999998,1.0,2.0,1.0,2.0,0,1
581,-1.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
582,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
583,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
584,1.0,1.0,0.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,2.0,0.0,0.2999999999999998,0.2999999999999998,0.7000000000000002,1.0,0,1
585,0.2999999999999998,0.0,0.0,2.0,1.0,-1.0,0.7000000000000002,-2.0,1.0,-2.0,-2.0,1.0,1.0,2.0,0.0,0.7000000000000002,0.7000000000000002,-2.0,1.0,0,0
586,1.0,1.0,0.0,2.0,0.0,2.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,-0.30000000000000004,-2.0,-2.0,0,0
587,2.0,-2.0,0.0,1.2999999999999998,-2.0,-2.0,1.2999999999999998,-2.0,2.0,-2.0,-2.0,2.0,-2.0,0.0,-2.0,0.7000000000000002,1.0,0.0,0.2999999999999998,0,1
588,0.0,0.0,1.0,2.0,2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,0.0,2.0,1.7000000000000002,0.7000000000000002,0.7000000000000002,-2.0,-2.0,0,0
589,0.7000000000000002,1.2999999999999998,0.0,2.0,1.0,-1.0,1.0,0.0,0.7000000000000002,-2.0,-2.0,-2.0,0.7000000000000002,0.0,-2.0,1.0,-0.30000000000000004,-0.30000000000000004,0.2999999999999998,0,1
590,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,0.0,1.0,0.2999999999999998,0.2999999999999998,0.7000000000000002,0.7000000000000002,-2.0,1.0,0,0
591,-2.0,-2.0,0.0,1.0,-1.3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
592,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.2999999999999998,0.2999999999999998,1.0,0.2999999999999998,0.0,0.0,0,0
593,0.0,1.0,0.2999999999999998,2.0,0.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,1.2999999999999998,0.0,1.0,-0.30000000000000004,-0.30000000000000004,0.7000000000000002,1.0,0,1
594,1.0,1.0,2.0,2.0,1.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,-0.7,0.0,-2.0,-2.0,-2.0,0,0
