,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308,cluster_label,graduated
977,0.0,-1.0,0.7000000000000002,-0.30000000000000004,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,1.2999999999999998,0.0,0.0,0.0,-1.0,0,1
978,0.0,1.0,2.0,-2.0,2.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0,0
979,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
980,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
981,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
982,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,0.0,0.0,0.2999999999999998,0.2999999999999998,0,0
983,1.2999999999999998,1.0,1.0,2.0,2.0,1.0,0.2999999999999998,0.0,-2.0,-2.0,-2.0,2.0,0.0,1.0,0.7000000000000002,1.0,1.2999999999999998,-2.0,0,0
984,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
985,1.0,-2.0,0.7000000000000002,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-0.30000000000000004,0.2999999999999998,-2.0,1.2999999999999998,1,1
986,0.0,0.0,1.7000000000000002,1.0,0.0,-0.30000000000000004,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,1.0,0.7000000000000002,1.0,1.2999999999999998,0,1
987,2.0,1.0,0.0,2.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,0.2999999999999998,0.7000000000000002,-0.30000000000000004,0.2999999999999998,0.0,1.2999999999999998,0,0
988,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,1.0,0.7000000000000002,0.7000000000000002,0.0,0,0
989,-2.0,1.0,2.0,2.0,0.2999999999999998,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.7000000000000002,1.7000000000000002,-2.0,2.0,0,1
