,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120,cluster_label,graduated
663,0.2999999999999998,-1.0,0.0,-1.3,-2.0,0.2999999999999998,-2.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,0.7000000000000002,-2.0,0,0
664,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
665,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
666,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,1.0,2.0,-2.0,-2.0,2.0,-2.0,0,0
667,-2.0,-2.0,1.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,0.7000000000000002,0.7000000000000002,-2.0,1.2999999999999998,1.7000000000000002,-2.0,-2.0,0,0
668,1.0,-0.30000000000000004,0.2999999999999998,0.0,-1.3,1.7000000000000002,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,-2.0,1,1
669,0.0,-2.0,-2.0,0.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0,0
670,1.0,0.0,0.7000000000000002,1.0,0.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,1,1
671,0.2999999999999998,-2.0,0.0,0.7000000000000002,0.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,0,0
672,1.2999999999999998,0.0,0.0,-0.30000000000000004,-2.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,-2.0,2.0,-2.0,1,0
673,-2.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-0.7,0,0
