,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308,graduated,cluster_label
4288,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,-2.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0,1
4289,1.0,1.0,0.7000000000000002,1.0,1.0,-1.0,0.2999999999999998,1.0,1.0,-2.0,-2.0,-2.0,1.7000000000000002,1.0,1.0,-2.0,0.0,-1.0,1.0,-2.0,-2.0,0,1
4290,0.7000000000000002,-2.0,1.0,2.0,0.0,-2.0,1.2999999999999998,2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4291,-2.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4292,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4293,-2.0,-2.0,-1.0,0.0,-2.0,-2.0,-0.7,-2.0,-2.0,-2.0,-2.0,-0.7,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4294,-1.0,-2.0,-1.0,2.0,-2.0,-2.0,1.2999999999999998,2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.7000000000000002,2.0,2.0,0.0,0.7000000000000002,-2.0,0.0,1,1
4295,1.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,1
4296,-2.0,-2.0,0.0,1.7000000000000002,0.0,-2.0,1.2999999999999998,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4297,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
