,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355,cluster_label,graduated
2295,1.0,0.0,1.0,0.0,2.0,0.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,0.7000000000000002,-0.30000000000000004,0.0,1.0,0.2999999999999998,-2.0,0.0,-2.0,-2.0,1,1
2296,0.0,1.2999999999999998,-1.0,1.0,1.2999999999999998,-1.0,-2.0,0.0,1.0,-2.0,-2.0,1.2999999999999998,1.7000000000000002,1.2999999999999998,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0,1
2297,0.0,0.0,0.0,0.0,0.2999999999999998,0.0,1.2999999999999998,0.2999999999999998,-2.0,-2.0,-2.0,1.2999999999999998,0.2999999999999998,0.2999999999999998,-1.3,0.0,-2.0,-0.30000000000000004,1.0,1.0,0,1
2298,2.0,1.0,2.0,1.0,2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.2999999999999998,-2.0,1.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,1,1
2299,1.0,2.0,2.0,1.0,2.0,-2.0,2.0,2.0,2.0,-2.0,-2.0,1.0,0.2999999999999998,2.0,1.7000000000000002,0.2999999999999998,-2.0,1.7000000000000002,1.0,1.7000000000000002,0,1
2300,2.0,2.0,0.7000000000000002,1.0,2.0,-2.0,2.0,1.7000000000000002,1.7000000000000002,-2.0,-2.0,1.0,2.0,2.0,1.0,1.0,-2.0,1.2999999999999998,1.2999999999999998,1.2999999999999998,0,1
2301,0.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,0.0,-2.0,-2.0,1.0,1.2999999999999998,1.7000000000000002,0.2999999999999998,0.2999999999999998,-2.0,-0.30000000000000004,-2.0,-2.0,0,1
2302,1.0,1.0,1.0,1.0,-2.0,-2.0,1.7000000000000002,2.0,-2.0,1.0,-2.0,1.2999999999999998,2.0,2.0,0.0,-2.0,-2.0,1.0,2.0,-2.0,0,0
2303,0.0,-0.30000000000000004,-1.0,0.0,1.2999999999999998,-2.0,1.7000000000000002,0.2999999999999998,0.0,-2.0,-2.0,0.0,-0.7,1.2999999999999998,-0.7,-0.30000000000000004,-2.0,1.0,-2.0,-2.0,1,0
2304,2.0,0.0,0.0,0.0,1.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,0.7000000000000002,0.0,1.2999999999999998,1.0,-0.30000000000000004,-2.0,1.0,-2.0,-2.0,0,1
2305,-1.0,0.0,1.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,0.0,-0.30000000000000004,0.0,0.0,-2.0,-0.30000000000000004,-2.0,-2.0,1,1
2306,-2.0,0.0,1.0,0.2999999999999998,1.2999999999999998,-2.0,0.2999999999999998,0.7000000000000002,-2.0,-2.0,-2.0,1.0,1.0,0.7000000000000002,-0.30000000000000004,-0.30000000000000004,-2.0,1.0,-2.0,-2.0,0,1
2307,1.0,1.0,1.0,0.0,1.0,-2.0,1.0,2.0,0.0,-2.0,-2.0,1.2999999999999998,1.0,1.7000000000000002,-1.0,-0.30000000000000004,-2.0,1.0,1.2999999999999998,1.0,0,1
2308,0.0,1.0,1.2999999999999998,1.0,1.7000000000000002,-2.0,1.0,0.2999999999999998,1.0,-2.0,-2.0,1.0,0.2999999999999998,1.7000000000000002,0.0,-0.7,-2.0,0.7000000000000002,-2.0,-2.0,0,1
2309,2.0,0.2999999999999998,1.0,-1.0,2.0,0.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,1.2999999999999998,1.7000000000000002,0.2999999999999998,0.7000000000000002,0.7000000000000002,-2.0,-0.30000000000000004,-2.0,-2.0,0,1
2310,1.0,1.0,0.0,0.0,2.0,-0.7,0.0,1.0,-2.0,-2.0,-2.0,1.0,0.7000000000000002,2.0,1.0,0.7000000000000002,-2.0,-0.30000000000000004,0.0,-2.0,0,0
2311,1.0,2.0,0.0,2.0,1.0,-2.0,1.0,1.0,0.0,-2.0,-2.0,1.0,-0.30000000000000004,0.0,0.0,-0.30000000000000004,-2.0,1.0,-2.0,-2.0,0,0
2312,1.0,1.0,1.0,1.0,0.0,0.2999999999999998,1.0,-2.0,-2.0,2.0,-2.0,0.7000000000000002,-2.0,-0.30000000000000004,0.2999999999999998,0.2999999999999998,-2.0,-0.30000000000000004,-2.0,-2.0,1,0
2313,0.0,1.0,2.0,1.0,2.0,-2.0,1.0,1.0,0.0,-2.0,-2.0,0.0,-2.0,1.0,1.2999999999999998,0.0,-2.0,0.0,-2.0,-2.0,0,1
2314,0.0,0.0,0.0,0.0,2.0,-0.7,-2.0,0.7000000000000002,0.0,-2.0,-2.0,1.0,1.7000000000000002,0.2999999999999998,1.2999999999999998,-0.30000000000000004,-2.0,1.0,1.0,0.2999999999999998,0,1
